Mean data for UKR  Province= 6: Donets'k,  from 2019 to 2020, weekly<br><tt><pre>2019, 1, 0.038,255.99, 41.32, 53.82, 47.57,
2020,39,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,40,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,41,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,42,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,43,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,44,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,45,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,46,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,47,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,48,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,49,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,50,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,51,-1.000, -1.00, -1.00, -1.00, -1.00,
2020,52,-1.000, -1.00, -1.00, -1.00, -1.00,
</pre></tt>
